operation	language	input_size	time	memory
matmul_naïve	Python	100	165.8294879598543	
matmul_naïve	Python	200	1182.9483769834042	
matmul_naïve	Python	400	10194.086067029275	
matmul_naïve	C	100	0.876562	
matmul_naïve	C	200	8.130829	
matmul_naïve	C	400	82.364603	
matmul_naïve	Java	100	11.0	
matmul_naïve	Java	200	22.0	
matmul_naïve	Java	400	137.0	
matmul_naïve	Python	100		1537688
matmul_naïve	Python	200		2257592
matmul_naïve	Python	400		5199896
matmul_naïve	C	100		244128
matmul_naïve	C	200		964128
matmul_naïve	C	400		3844128
matmul_naïve	Java	100		34258248
matmul_naïve	Java	200		34229680
matmul_naïve	Java	400		33906720
matmul_optimized	Python	100	0.11281401384621859	
matmul_optimized	Python	200	0.597576959989965	
matmul_optimized	Python	400	2.6691469829529524	
matmul_optimized	Python	800	29.45823990739882	
matmul_optimized	C	100	0.483049	
matmul_optimized	C	200	3.850621	
matmul_optimized	C	400	6.272053	
matmul_optimized	C	800	41.81119	
matmul_optimized	Java	100	11.0	
matmul_optimized	Java	200	21.0	
matmul_optimized	Java	400	64.0	
matmul_optimized	Java	800	471.0	
matmul_optimized	Python	100		5305176
matmul_optimized	Python	200		6025176
matmul_optimized	Python	400		8905176
matmul_optimized	Python	800		20437272
matmul_optimized	C	100		262608
matmul_optimized	C	200		982608
matmul_optimized	C	400		3862608
matmul_optimized	C	800		15394704
matmul_optimized	Java	100		35606752
matmul_optimized	Java	200		34933320
matmul_optimized	Java	400		34835376
matmul_optimized	Java	800		33320232
sort_stdlib	Python	100		1312672
sort_stdlib	Python	200		1312672
sort_stdlib	Python	400		1312672
sort_stdlib	Python	800		1312672
sort_stdlib	Python	1600		1312672
sort_stdlib	Python	3200		1312672
sort_stdlib	Python	6400		1346080
sort_stdlib	Python	12800		1428080
sort_stdlib	Python	25600		1593696
sort_stdlib	Python	512000		7595504
sort_stdlib	Python	1024000		14040560
sort_stdlib	Python	2000000		26799536
sort_stdlib	Python	4000000		52788656
sort_stdlib	Python	16000000		194948544
sort_stdlib	C	100		4104
sort_stdlib	C	200		4104
sort_stdlib	C	400		6416
sort_stdlib	C	800		12816
sort_stdlib	C	1600		25616
sort_stdlib	C	3200		51216
sort_stdlib	C	6400		102416
sort_stdlib	C	12800		204816
sort_stdlib	C	25600		409616
sort_stdlib	C	512000		8192016
sort_stdlib	C	1024000		16392080
sort_stdlib	C	2000000		32006032
sort_stdlib	C	4000000		64003984
sort_stdlib	C	16000000		256008080
sort_stdlib	Java	100		32910592
sort_stdlib	Java	200		33198592
sort_stdlib	Java	400		33205784
sort_stdlib	Java	800		33076184
sort_stdlib	Java	1600		33348432
sort_stdlib	Java	3200		33406288
sort_stdlib	Java	6400		32971360
sort_stdlib	Java	12800		34019024
sort_stdlib	Java	25600		37785328
sort_stdlib	Java	512000		38987824
sort_stdlib	Java	1024000		33333392
sort_stdlib	Java	2000000		38459040
sort_stdlib	Java	4000000		33796136
sort_stdlib	Java	16000000		40966632
sort_stdlib	Python	100	0.007916940376162529	
sort_stdlib	Python	200	0.015954021364450455	
sort_stdlib	Python	400	0.027203001081943512	
sort_stdlib	Python	800	0.06981799378991127	
sort_stdlib	Python	1600	0.22910104598850012	
sort_stdlib	Python	3200	0.31205802224576473	
sort_stdlib	Python	6400	0.714423949830234	
sort_stdlib	Python	12800	1.5727670397609472	
sort_stdlib	Python	25600	4.631774965673685	
sort_stdlib	Python	512000	92.91257499717176	
sort_stdlib	Python	1024000	220.7330990349874	
sort_stdlib	Python	2000000	604.822360095568	
sort_stdlib	Python	4000000	1251.6756630502641	
sort_stdlib	Python	16000000	5609.843867016025	
sort_stdlib	C	100	0.009322	
sort_stdlib	C	200	0.023442	
sort_stdlib	C	400	0.035435	
sort_stdlib	C	800	0.069849	
sort_stdlib	C	1600	0.136161	
sort_stdlib	C	3200	0.295281	
sort_stdlib	C	6400	0.626119	
sort_stdlib	C	12800	1.778738	
sort_stdlib	C	25600	2.827539	
sort_stdlib	C	512000	63.457021	
sort_stdlib	C	1024000	120.615907	
sort_stdlib	C	2000000	262.254757	
sort_stdlib	C	4000000	649.826741	
sort_stdlib	C	16000000	2579.413393	
sort_stdlib	Java	100	1.0	
sort_stdlib	Java	200	1.0	
sort_stdlib	Java	400	1.0	
sort_stdlib	Java	800	2.0	
sort_stdlib	Java	1600	2.0	
sort_stdlib	Java	3200	3.0	
sort_stdlib	Java	6400	6.0	
sort_stdlib	Java	12800	11.0	
sort_stdlib	Java	25600	15.0	
sort_stdlib	Java	512000	224.0	
sort_stdlib	Java	1024000	485.0	
sort_stdlib	Java	2000000	1087.0	
sort_stdlib	Java	4000000	2131.0	
sort_stdlib	Java	16000000	11189.0	
heap	Python	100	3.1621010275557637	
heap	Python	200	6.82360993232578	
heap	Python	400	30.47005506232381	
heap	Python	800	123.87300201226026	
heap	Python	1600	439.05789707787335	
heap	Python	3200	2020.03379794769	
heap	C	100	0.026523	
heap	C	200	0.079939	
heap	C	400	0.317792	
heap	C	800	1.316887	
heap	C	1600	6.729143	
heap	C	3200	24.604819	
heap	Java	100	1.0	
heap	Java	200	2.0	
heap	Java	400	3.0	
heap	Java	800	4.0	
heap	Java	1600	10.0	
heap	Java	3200	32.0	
heap	Python	100		1606416
heap	Python	200		1606416
heap	Python	400		1606416
heap	Python	800		1606416
heap	Python	1600		1606416
heap	Python	3200		1606416
heap	C	100		6624
heap	C	200		9608
heap	C	400		19208
heap	C	800		38408
heap	C	1600		76808
heap	C	3200		153608
heap	Java	100		33010992
heap	Java	200		33256496
heap	Java	400		32949456
heap	Java	800		33178216
heap	Java	1600		37452584
heap	Java	3200		33926352
