operation	language	input_size	time	memory
matmul_naïve	Python	100	97.7075379996677	
matmul_naïve	Python	200	817.9799200006528	
matmul_naïve	Python	400	7533.406114998797	
matmul_naïve	C	100	1.064117	
matmul_naïve	C	200	7.909038	
matmul_naïve	C	400	70.284765	
matmul_naïve	Java	100	6.0	
matmul_naïve	Java	200	17.0	
matmul_naïve	Java	400	116.0	
matmul_naïve	Python	100		1537688
matmul_naïve	Python	200		2257592
matmul_naïve	Python	400		5199896
matmul_naïve	C	100		244128
matmul_naïve	C	200		964128
matmul_naïve	C	400		3844128
matmul_naïve	Java	100		32874416
matmul_naïve	Java	200		32764624
matmul_naïve	Java	400		33388736
matmul_optimized	Python	100	0.13633500202558935	
matmul_optimized	Python	200	0.5586600018432364	
matmul_optimized	Python	400	3.1617710046702996	
matmul_optimized	Python	800	20.66765799827408	
matmul_optimized	C	100	10.879339	
matmul_optimized	C	200	0.843817	
matmul_optimized	C	400	4.86655	
matmul_optimized	C	800	60.682762	
matmul_optimized	Java	100	10.0	
matmul_optimized	Java	200	22.0	
matmul_optimized	Java	400	57.0	
matmul_optimized	Java	800	324.0	
matmul_optimized	Python	100		5305392
matmul_optimized	Python	200		6025392
matmul_optimized	Python	400		8905392
matmul_optimized	Python	800		20437488
matmul_optimized	C	100		262608
matmul_optimized	C	200		982608
matmul_optimized	C	400		3862608
matmul_optimized	C	800		15394704
matmul_optimized	Java	100		66647280
matmul_optimized	Java	200		66147568
matmul_optimized	Java	400		34471568
matmul_optimized	Java	800		65736320
sort_stdlib	Python	100		1312672
sort_stdlib	Python	200		1312672
sort_stdlib	Python	400		1312672
sort_stdlib	Python	800		1312672
sort_stdlib	Python	1600		1312672
sort_stdlib	Python	3200		1312672
sort_stdlib	Python	6400		1346064
sort_stdlib	Python	12800		1428096
sort_stdlib	Python	25600		1593712
sort_stdlib	Python	512000		7595488
sort_stdlib	Python	1024000		14040560
sort_stdlib	Python	2000000		26799536
sort_stdlib	Python	4000000		52788656
sort_stdlib	Python	16000000		194948544
sort_stdlib	C	100		4104
sort_stdlib	C	200		4104
sort_stdlib	C	400		6416
sort_stdlib	C	800		12816
sort_stdlib	C	1600		25616
sort_stdlib	C	3200		51216
sort_stdlib	C	6400		102416
sort_stdlib	C	12800		204816
sort_stdlib	C	25600		409616
sort_stdlib	C	512000		8192016
sort_stdlib	C	1024000		16392080
sort_stdlib	C	2000000		32006032
sort_stdlib	C	4000000		64003984
sort_stdlib	C	16000000		256008080
sort_stdlib	Java	100		33262296
sort_stdlib	Java	200		33298976
sort_stdlib	Java	400		33259616
sort_stdlib	Java	800		32856080
sort_stdlib	Java	1600		32849864
sort_stdlib	Java	3200		33271432
sort_stdlib	Java	6400		33237688
sort_stdlib	Java	12800		33348856
sort_stdlib	Java	25600		33214248
sort_stdlib	Java	512000		33246720
sort_stdlib	Java	1024000		36244240
sort_stdlib	Java	2000000		36275024
sort_stdlib	Java	4000000		38143608
sort_stdlib	Java	16000000		40672704
sort_stdlib	Python	100	0.005060996045358479	
sort_stdlib	Python	200	0.010653995559550822	
sort_stdlib	Python	400	0.038404003134928644	
sort_stdlib	Python	800	0.04685300518758595	
sort_stdlib	Python	1600	0.09871300426311791	
sort_stdlib	Python	3200	0.24036600370891392	
sort_stdlib	Python	6400	0.6322580011328682	
sort_stdlib	Python	12800	1.2357939995126799	
sort_stdlib	Python	25600	2.8425249984138645	
sort_stdlib	Python	512000	79.22902599966619	
sort_stdlib	Python	1024000	165.90510500100208	
sort_stdlib	Python	2000000	363.09306399925845	
sort_stdlib	Python	4000000	844.8385340016102	
sort_stdlib	Python	16000000	4402.07643800386	
sort_stdlib	C	100	0.005043	
sort_stdlib	C	200	0.015171	
sort_stdlib	C	400	0.022966	
sort_stdlib	C	800	0.046148	
sort_stdlib	C	1600	0.112663	
sort_stdlib	C	3200	0.205444	
sort_stdlib	C	6400	0.432592	
sort_stdlib	C	12800	0.90829	
sort_stdlib	C	25600	1.940126	
sort_stdlib	C	512000	49.521962	
sort_stdlib	C	1024000	105.836269	
sort_stdlib	C	2000000	218.173965	
sort_stdlib	C	4000000	451.582286	
sort_stdlib	C	16000000	2025.620288	
sort_stdlib	Java	100	0.0	
sort_stdlib	Java	200	1.0	
sort_stdlib	Java	400	1.0	
sort_stdlib	Java	800	1.0	
sort_stdlib	Java	1600	2.0	
sort_stdlib	Java	3200	4.0	
sort_stdlib	Java	6400	4.0	
sort_stdlib	Java	12800	7.0	
sort_stdlib	Java	25600	11.0	
sort_stdlib	Java	512000	177.0	
sort_stdlib	Java	1024000	338.0	
sort_stdlib	Java	2000000	745.0	
sort_stdlib	Java	4000000	1680.0	
sort_stdlib	Java	16000000	7903.0	
heap	Python	100	1.5037099947221577	
heap	Python	200	7.709461999183986	
heap	Python	400	28.855270000349265	
heap	Python	800	117.01070799608715	
heap	Python	1600	403.09558199805906	
heap	Python	3200	1652.986080996925	
heap	C	100	0.078839	
heap	C	200	0.171681	
heap	C	400	0.696004	
heap	C	800	2.195709	
heap	C	1600	6.168094	
heap	C	3200	19.870928	
heap	Java	100	0.0	
heap	Java	200	0.0	
heap	Java	400	0.0	
heap	Java	800	0.0	
heap	Java	1600	0.0	
heap	Java	3200	0.0	
heap	Python	100		1606416
heap	Python	200		1606416
heap	Python	400		1606416
heap	Python	800		1606416
heap	Python	1600		1606416
heap	Python	3200		1606416
heap	C	100		6584
heap	C	200		9608
heap	C	400		19208
heap	C	800		38408
heap	C	1600		76808
heap	C	3200		153608
heap	Java	100		33241392
heap	Java	200		32853600
heap	Java	400		32945680
heap	Java	800		33243688
heap	Java	1600		32843392
heap	Java	3200		33225744
